,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
0,2010,229999,168000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,7
1,2017,665000,25000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,5
2,2007,175000,218463,Petrol,Individual,Automatic,First Owner,12.9,1799,130.0,5
3,2015,635000,173000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5
4,2011,130000,70000,Petrol,Individual,Manual,Second Owner,16.5,1172,65.0,5
5,2019,975000,12584,Diesel,Dealer,Manual,First Owner,16.55,2498,105.0,6
6,2011,150000,35000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,5
7,2012,275000,70000,Petrol,Individual,Manual,Second Owner,18.5,1197,85.8,5
8,2011,140000,72000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
9,2016,850000,58000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
10,2018,1150000,49000,Diesel,Individual,Automatic,First Owner,22.0,1582,126.2,5
11,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5
12,2017,600000,24500,Diesel,Dealer,Manual,First Owner,25.8,1498,98.6,5
13,2009,142000,110000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5
14,2019,530000,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5
15,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280.0,5
16,2014,560000,25000,Petrol,Individual,Manual,First Owner,16.02,1373,93.7,7
17,2012,140000,185000,Diesel,Individual,Manual,Second Owner,19.4,1405,70.0,5
18,2014,440000,62200,Petrol,Dealer,Manual,First Owner,17.0,1197,80.0,5
19,2011,250000,35000,Petrol,Individual,Manual,First Owner,16.36,1495,93.7,5
20,2011,300000,70000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5
21,2010,100000,180000,Petrol,Individual,Manual,Second Owner,19.0,998,67.1,5
22,2015,750000,74000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
23,2015,250000,20000,Petrol,Individual,Automatic,First Owner,21.9,624,37.48,4
24,2017,754000,40000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
25,2015,415000,100581,Diesel,Dealer,Manual,First Owner,25.83,1498,99.0,5
26,2017,860000,40000,Diesel,Individual,Manual,Second Owner,22.0,1582,126.2,5
27,2015,919999,140000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7
28,2014,425000,60000,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,5
29,2016,540000,80000,Diesel,Individual,Manual,Third Owner,21.19,1396,88.73,5
30,2019,1460000,5000,Diesel,Individual,Manual,First Owner,17.3,1497,121.0,7
31,2017,850000,50000,Diesel,Individual,Automatic,First Owner,19.6,1461,108.45,5
32,2012,650000,138000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,8
33,2013,250000,60000,Petrol,Individual,Manual,Second Owner,14.09,1596,99.6,5
34,2012,405000,150000,Diesel,Individual,Manual,First Owner,19.369999999999997,1248,81.86,5
35,2013,300000,120000,Petrol,Individual,Manual,Second Owner,18.0,1198,86.7,5
36,2019,466000,25000,Petrol,Individual,Automatic,Fourth & Above Owner,20.3,1086,68.0,5
37,2012,200000,90000,Diesel,Individual,Manual,First Owner,22.3,1248,74.0,5
38,2013,350000,37000,Petrol,Dealer,Manual,First Owner,13.7,1399,98.79,7
39,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5
40,2012,250000,100000,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,5
41,2014,300000,45000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5
42,2011,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5
43,2014,375000,76000,Diesel,Individual,Manual,Third Owner,24.0,1120,70.0,5
44,2017,400000,110000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5
45,2012,450000,135000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
46,2011,325000,160000,Diesel,Individual,Manual,Third Owner,20.86,1199,75.0,5
47,2010,210000,94000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5
48,2019,359000,5500,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,7
49,2019,670000,5000,Petrol,Individual,Manual,First Owner,19.5,1199,88.76,5
50,2014,180000,62000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
51,2010,254999,80000,Petrol,Individual,Manual,Fourth & Above Owner,17.0,1197,80.0,5
52,2019,700000,30000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
53,2014,560000,90000,Diesel,Individual,Manual,First Owner,20.77,1248,88.8,7
54,2012,300000,88000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,5
55,2018,275000,20000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5
56,2012,320000,40000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,5
57,2012,254999,190000,Diesel,Individual,Manual,Third Owner,19.369999999999997,1248,81.86,5
58,2012,300000,120000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5
59,2011,110000,120000,Diesel,Individual,Manual,First Owner,19.4,1405,70.0,5
60,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73,5
61,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5
62,2017,235000,25000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5
63,2013,375000,70000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5
64,2015,625000,90000,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5
65,2018,946000,60000,Diesel,Individual,Manual,First Owner,22.1,1396,88.7,5
66,2008,200000,90000,Petrol,Individual,Manual,First Owner,19.369999999999997,1248,81.86,5
67,2014,570000,48000,Diesel,Individual,Manual,First Owner,21.7,1498,98.96,5
68,2015,600000,40000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7
69,2018,560000,20000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
70,2014,348000,23000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5
71,2002,35000,184000,Petrol,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,5
72,2014,620000,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
73,2019,721000,9400,Petrol,Dealer,Manual,First Owner,18.6,1197,81.83,5
74,2006,170000,120000,Diesel,Individual,Manual,Second Owner,14.0,2523,83.0,7
75,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,5
76,2013,190000,60000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5
77,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5
78,2016,350000,120000,Diesel,Individual,Manual,Second Owner,24.4,1120,71.0,5
79,2015,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7
80,2015,585000,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
81,2015,265000,48000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5
82,2017,890000,18300,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,5
83,2017,635000,120000,Petrol,Individual,Automatic,First Owner,21.21,1197,81.8,5
84,2016,900000,110000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
85,2017,620000,25000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
86,2014,550000,105000,Diesel,Dealer,Manual,First Owner,21.7,1498,98.96,5
87,2012,155000,98000,Diesel,Individual,Manual,First Owner,25.44,936,57.6,5
88,2018,670000,35000,Diesel,Individual,Manual,First Owner,22.71,1461,84.8,5
89,2018,3200000,60000,Diesel,Individual,Automatic,First Owner,15.04,2755,174.5,7
90,2007,100000,70000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5
91,2016,750000,80000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
92,2012,195000,163720,Diesel,Dealer,Manual,First Owner,18.5,1399,68.0,5
93,2017,600000,40000,Petrol,Individual,Manual,Second Owner,20.3,1199,84.0,5
94,2017,500000,62960,Diesel,Dealer,Manual,First Owner,25.83,1498,99.0,5
95,2019,625000,4337,Petrol,Dealer,Automatic,First Owner,18.9,1197,82.0,5
96,2015,450000,53000,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,5
97,2015,1050000,80000,Diesel,Individual,Manual,Second Owner,15.4,2179,120.0,7
98,2015,2000000,120000,Diesel,Individual,Manual,First Owner,13.0,2494,142.0,7
99,2014,221000,65000,Diesel,Dealer,Manual,First Owner,19.09,1405,69.01,5
100,2013,180000,60000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
101,2013,325000,100000,Diesel,Individual,Manual,First Owner,22.3,1248,88.8,5
102,2018,950000,75000,Diesel,Individual,Automatic,First Owner,21.5,1498,108.5,5
103,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,5
104,2004,60000,113000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
105,2014,400000,50000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5
106,2017,699000,60000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
107,2014,425000,80000,Petrol,Individual,Manual,Third Owner,16.02,1373,93.7,7
108,2009,250000,125876,Petrol,Individual,Manual,Second Owner,15.0,1586,104.68,5
109,2019,675000,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5
110,2015,240000,110000,Diesel,Individual,Manual,Second Owner,19.1,1405,70.0,5
111,2013,451000,120000,Diesel,Individual,Manual,First Owner,23.59,1364,67.06,5
112,2017,750000,110000,Diesel,Individual,Manual,Second Owner,28.4,1248,74.02,5
113,2017,400000,140000,Diesel,Individual,Manual,First Owner,14.07,2956,69.01,7
114,2005,60000,90000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5
115,2007,55000,70000,Petrol,Individual,Manual,Third Owner,15.9,1298,85.0,5
116,1995,55000,70000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4
117,2017,1000000,60000,Diesel,Individual,Automatic,Second Owner,17.01,1582,126.2,5
118,2006,210000,120000,Diesel,Individual,Manual,First Owner,19.369999999999997,1248,81.86,5
119,2013,409999,100000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,5
120,2017,620000,100000,Diesel,Individual,Manual,Second Owner,16.5,1493,70.0,7
121,2017,620000,31000,Diesel,Individual,Manual,First Owner,25.4,1186,73.97,5
122,2017,1100000,26000,Petrol,Individual,Automatic,First Owner,18.0,1497,117.3,5
123,2013,275000,80000,Petrol,Individual,Manual,Second Owner,15.1,1196,73.0,5
124,2011,290000,90000,Petrol,Individual,Manual,Third Owner,17.0,1197,80.0,5
125,2018,655000,20000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
126,2018,250000,10000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5
127,2012,180000,80000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
128,2008,300000,100000,Diesel,Individual,Manual,Second Owner,11.5,1991,147.9,7
129,2010,135000,148000,Diesel,Individual,Manual,Second Owner,19.09,1396,69.0,5
130,2009,120000,90000,Petrol,Individual,Manual,Second Owner,0.0,1086,62.0,5
131,2016,482000,50000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5
132,2013,150000,90000,Diesel,Individual,Manual,Second Owner,19.4,1405,70.0,5
133,2012,470000,215000,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,7
134,2017,395000,25000,Petrol,Individual,Manual,First Owner,21.63,998,67.0,5
135,2012,459999,87000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7
136,2012,140000,120000,Diesel,Individual,Manual,Second Owner,21.03,1461,65.0,5
137,2017,800000,70000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7
138,2011,265000,90000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5
139,2017,660000,60000,Diesel,Individual,Manual,Second Owner,16.5,1493,70.0,7
140,2011,175000,175000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
141,2012,250000,40000,Diesel,Individual,Manual,First Owner,22.3,1248,74.0,5
142,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,5
143,2019,550000,40000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5
144,2012,350000,30000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,5
145,2011,340000,160000,Diesel,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,5
146,2018,755000,39000,Diesel,Dealer,Manual,First Owner,28.4,1248,74.0,5
147,2017,329000,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,5
148,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969,190.0,5
149,2005,110000,53563,Petrol,Dealer,Manual,Second Owner,19.369999999999997,1248,81.86,5
150,2013,200000,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
151,2018,575000,70000,Petrol,Individual,Manual,First Owner,17.0,1198,108.5,5
152,2019,700000,6000,Petrol,Individual,Manual,First Owner,19.0,1194,94.68,5
153,2004,118000,60000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
154,2014,850000,120000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7
155,2011,1150000,181000,Diesel,Individual,Manual,Second Owner,11.5,2982,171.0,7
156,2009,307000,100000,Diesel,Individual,Manual,Second Owner,17.8,1248,75.0,5
157,2014,220000,50000,Petrol,Individual,Manual,Third Owner,21.1,814,55.2,5
158,2017,850000,63982,Diesel,Dealer,Manual,First Owner,22.7,1498,89.84,5
159,2011,350000,120000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5
160,2012,275000,48000,CNG,Individual,Manual,First Owner,13.2,1495,93.7,5
161,2016,819999,39000,Diesel,Dealer,Manual,First Owner,19.67,1582,126.2,5
162,2011,240000,90000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5
163,2003,110000,90000,Petrol,Individual,Manual,Second Owner,13.2,1495,94.0,5
164,2007,270000,147500,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,7
165,2008,122000,60000,Diesel,Individual,Manual,Second Owner,12.8,1995,52.0,5
166,2016,370000,90000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5
167,2017,565000,80000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5
168,2004,120000,150000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7
169,2017,650000,25000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5
170,2004,400000,93415,Diesel,Dealer,Manual,First Owner,13.1,2499,141.0,7
171,2019,630000,15000,Diesel,Individual,Manual,Second Owner,28.4,1248,74.0,5
172,2010,150000,106000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5
173,2013,350000,70000,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,5
174,2015,516000,90000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
175,2016,750000,71000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7
